ID,Midi Tracks Titles,Status,Sub Genre,Rename project,Cack Start Point (Project And Mp3),Presets In Folder,track titles,Mp3 In Folder,Export MIDI,Export XML,Stractur,Chord Progretion,Time Signature,BPM,הערות,Midi Tracks - Mp3 Exports,,שיטת הרמזור של מירי
119,K-Pop #5 in D,Not started,K-Pop,,,,,,,,,,,,,https://drive.google.com/file/d/1DEvACDzWGKlhRGigwVBlDLiJ7bHu-UU-/view?usp=drive_link,,
120,K-Pop #6 in Dm,Not started,K-Pop,,,,,,,,,,,,,https://drive.google.com/file/d/1cnnpvQD-ZEh5uhd2YLZK8t2_KT8AcPkq/view?usp=drive_link,,
121,Alternative Hip Hop #6 In Bbm,Not started,Alternative Hip - Hop,,,,,,,,,,,,,https://drive.google.com/file/d/1frVW4R9wvfuQ-68D3SKFhjqZmnNAegx3/view?usp=drive_link,,
122,Trap #4 In Db,Not started,Trap,,,,,,,,,,,,,https://drive.google.com/drive/folders/1LrFlVtXcMO4RhrpVgg0C9Zfn2dO0Vw7H?usp=drive_link,,
123,Trap #5 In C,Not started,Trap,,,,,,,,,,,,,https://drive.google.com/drive/folders/1IkFMQYf5Bt9ReU9uLR4s0ZR-ynXvMWdM?usp=drive_link,,
124,Trap #6 In Dm ,Not started,Trap,,,,,,,,,,,,,https://drive.google.com/drive/folders/1zS-46M6iE905BohF44BkigPBWky2iKwY?usp=drive_link,,
125,Trap #7 In Bm,Not started,Trap,,,,,,,,,,,,,https://drive.google.com/file/d/1rQa5vdcnejAW2Qsjdnanw71-jf2ai0se/view?usp=drive_link,,
126,Old School Hip Hop #4 in Cm,Not started,Old school Hip - Hop,,,,,,,,,,,,,https://drive.google.com/file/d/1cdeG66XxWfzAOimN5-HxCMcxGwk77y-F/view?usp=drive_link,,
127,Trap #8 In C#m,Not started,Trap,,,,,,,,,,,,,https://drive.google.com/file/d/1fKuTLDXt65OProxpCPOjc84n2WKFH2EK/view?usp=drive_link,,
128,Old School Hip Hop #5 in Dm,Not started,Old school Hip - Hop,,,,,,,,,,,,,https://drive.google.com/file/d/1FvBmD9M-lhrdCj1WLYPrG_rpxwAei1mb/view?usp=drive_link,,
129,Old School Hip Hop #6 in Ebm,Not started,Old school Hip - Hop,,,,,,,,,,,,,https://drive.google.com/file/d/1P-zC5GrvQVJhjC_eWdgse3NpbbUNxWUf/view?usp=drive_link,,
130,Old School Hip Hop #7 in Abm,Not started,Old school Hip - Hop,,,,,,,,,,,,,https://drive.google.com/file/d/1auCkr4gQ7NrgsaoT5et4Rcq88lEG8j5v/view?usp=drive_link,,
131,Trap #9 In F#m,Not started,Trap,,,,,,,,,,,,,https://drive.google.com/file/d/1E3quGELjfDTvVdt_w8njsxXKOuqEEiKV/view?usp=drive_link,,
132,Trap #10 In Cm,Not started,Trap,,,,,,,,,,,,,https://drive.google.com/file/d/1av6mON8tdiI9vVHc0Nbsu6H56TYW4x_W/view?usp=drive_link,,
133,Electro - Pop Track #7 In Gm,Not started,Electro - pop,,,,,,,,,,,,,https://drive.google.com/file/d/1V0JmOXTU012doG03apwOWbiOj-psz1r7/view?usp=drive_link,,
134,Electro - Pop Track #5 In F#m,Not started,Electro - pop,,,,,,,,,,,,,https://drive.google.com/file/d/11gnupq22_QXcuVwI-nLjfvut45mY8SB8/view?usp=drive_link,,
135,Electro - Pop Track #6 In G#m,Not started,Electro - pop,,,,,,,,,,,,,https://drive.google.com/file/d/12kaaCsqveQA4fNvlIGmfYZiyFUuynv5U/view?usp=drive_link,,
136,Deep - House #1 In Am,Not started,Deep - House,,,,,,,,,,,,,https://drive.google.com/file/d/1cAackzpimYMsijQNCoPGzRnyRc-3geU2/view?usp=drive_link,,
137,Deep - House #2 In Bbm,Not started,Deep - House,,,,,,,,,,,,,https://drive.google.com/file/d/1NmiAgmFuSVPfHMklxLrIFGZvPmFWtwxj/view?usp=drive_link,,
138,Deep - House #3 In F#m,Not started,Deep - House,,,,,,,,,,,,,https://drive.google.com/file/d/1x0OQXboBJtohWAD3XED7UcoBOe4Ku5QI/view?usp=drive_link,,
139,Trap #7 In Gm,Not started,Trap,,,,,,,,,,,,,https://drive.google.com/file/d/19PGTZu8FfBOmUimkGQEQQOBLOCJn1Hpz/view?usp=drive_link,,
140,Slap - House #1 In Am,Not started,Slap - House,,,,,,,,,,,,,https://drive.google.com/file/d/1xwFlQeRHJG5iqt_FmzMpMtZ3onHrd7a5/view?usp=drive_link,,
141,Slap - House #2 In Bbm,Not started,Slap - House,,,,,,,,,,,,,https://drive.google.com/file/d/1ileMdyeY4rd0QI3lqUj7pjnloOLGU-nN/view?usp=drive_link,,
142,Trap #8 In C#m,Not started,Trap,,,,,,,,,,,,,https://drive.google.com/file/d/1nupyAdbX0fXlg1Vfs15FHsD_M8VUo0z8/view?usp=drive_link,,
143,Alternative Hip - Hop #7 In Ab,Not started,Alternative Hip - Hop,,,,,,,,,,,,,https://drive.google.com/file/d/1HtIRsoYh2-Kv6Porilmda7k2MaLNyMD_/view?usp=drive_link,,
144,Trap #9 In Ebm,Not started,Trap,,,,,,,,,,,,,https://drive.google.com/file/d/10oQgUHp6KjaXIS047eLU15wXH3zRHHr7/view?usp=drive_link,,
145,Trap #10 In Fm,Not started,Trap,,,,,,,,,,,,,https://drive.google.com/file/d/1UhJteDCVEH6dLRDTDkbmObX2Q1QPR1cS/view?usp=drive_link,,
146,Trap #11 In Bbm,Not started,Trap,,,,,,,,,,,,,https://drive.google.com/file/d/1gbfjrpZLCS_NLPEW_FrVsGqmqIMX7dOE/view?usp=drive_link,,
147,Trap #12 In F#m,Not started,Trap,,,,,,,,,,,,,https://drive.google.com/file/d/10vTiPLUyNnUxwlYJqtHb-EEdH7HnfPDS/view?usp=drive_link,,
148,Slap - House #3 In F#m,Not started,Slap - House,,,,,,,,,,,,,https://drive.google.com/file/d/1Rn8G-86cC2IOatZtSxb6xje3nLMDJ1Oe/view?usp=drive_link,,
149,Classic Hip - Hop #5 In Cm,Not started,Classic Hip - Hop,,,,,,,,,,,,,https://drive.google.com/file/d/13M0FGNJvVY08mQ-Zul6TXkhhDgq6hiVZ/view?usp=drive_link,,
150,Trap #13 In Am,Not started,Trap,,,,,,,,,,,,,https://drive.google.com/file/d/1P9ZTQcqLACTncdHWKPjXa6JKiNnPA2lf/view?usp=drive_link,,
151,Classic Hip - Hop #6 In Gm,Not started,Classic Hip - Hop,,,,,,,,,,,,,https://drive.google.com/file/d/1GJhqMbKx4C7ALt9ocWb8J5qk3G_IgPp7/view?usp=drive_link,,
152,Trap #14 In Bm,Not started,Trap,,,,,,,,,,,,,https://drive.google.com/file/d/1DkbBrO62yMi_6-F561lW0xHwG7svM3tb/view?usp=drive_link,,
153,Afrobeat #4 in Gm,Not started,Afrobeat,,,,,,,,,,,,,https://drive.google.com/file/d/1RPqEAkeMyiRzwVp63-kTF2vxNXUqfn4G/view?usp=drive_link,,
154,Alternative Hip - Hop #8 In F,Not started,Alternative Hip - Hop,,,,,,,,,,,,,https://drive.google.com/drive/folders/1xNVuwIl-UAulTzr9gbfskq8JoPodSVd-?usp=drive_link,,
155,Old School Hip - Hop #4 In Cm,Not started,Old school Hip - Hop,,,,,,,,,,,,,https://drive.google.com/file/d/1QblgsniomlacfakfMa3WFHyKFBfYcy04/view?usp=drive_link,,
156,Classic Hip - Hop #7 In F#,Not started,Classic Hip - Hop,,,,,,,,,,,,,https://drive.google.com/file/d/1PbejUYTk1RXKkyT5wstMWjMfautzwzrY/view?usp=drive_link,,
157,Afrobeat #5 in Eb,Not started,Afrobeat,,,,,,,,,,,,,https://drive.google.com/file/d/11iWENodnbX2YUKiMtxkCGvhucJuhT6DA/view?usp=drive_link,,
158,Teen Pop #8 In G - Stereo Out,Not started,Teen Pop,,,,,,,,,,,,,https://drive.google.com/file/d/1SMzpEBrOszoDNdb7sbo2UD0D6CCIyRMb/view?usp=drive_link,,
159,Power Classic Rock #3 in Bb,Not started,Power Classic Rock,,,,,,,,,,,,,https://drive.google.com/file/d/18t4TQcB25z0C2aINrodiEMRaje-GdhwZ/view?usp=drive_link,,
160,Disco #1 in Eb,Not started,Disco,,,,,,,,,,,,,https://drive.google.com/file/d/1jeEqOVcf5T3q2-m9VuYDu8wfUhA9-edx/view?usp=drive_link,,
161,Disco #2 In D,Not started,Disco,,,,,,,,,,,,,https://drive.google.com/file/d/1MH1avdZuLDj7eF0DCTH7OXA9mgdWXWCO/view?usp=drive_link,,
162,Disco #3 in F#m,Not started,Disco,,,,,,,,,,,,,https://drive.google.com/file/d/1qkAxTUqklkQ0RsU3j7oAiYNe8pJvNIuW/view?usp=drive_link,,
163,Disco #4 in A,Not started,Disco,,,,,,,,,,,,,https://drive.google.com/file/d/1sFNIW0NfvKRpW_k6weXO79AUKQhrC0jx/view?usp=drive_link,,
164,Disco #5 in Bm,Not started,Disco,,,,,,,,,,,,,https://drive.google.com/file/d/1p4y3XdP2T9ypwO43UdRsEhaDsuIrcu72/view?usp=drive_link,,
165,Soul #1 in Cm,Not started,Soul,,,,,,,,,,,,,https://drive.google.com/file/d/1T9a7ZmolYDUFDyO-geDYYWaQ7uUp2l_E/view?usp=drive_link,,
166,Thrash Metal #2 in Gm,Not started,Thrash Metal,,,,,,,,,,,,,https://drive.google.com/file/d/1VNzNpGmV1LKJt5G7RGc7rDsqKRpzi2ho/view?usp=drive_link,,
167,Soul #2 in F,Not started,Soul,,,,,,,,,,,,,https://drive.google.com/file/d/1qUG0Jn-xMxDNKCry3H1zVG0PPNYYKEIr/view?usp=drive_link,,
168,Soul #3 in Bb,Not started,Soul,,,,,,,,,,,,,https://drive.google.com/file/d/1mW24yqeif6XwmSM0xVmB7JiAQqAwlHkI/view?usp=drive_link,,
169, Post Rock #2 in Bm,Not started,Post Rock,,,,,,,,,,,,,https://drive.google.com/file/d/1x5Qma_E8lprozL3EdPGR04b5Vzkby8fC/view?usp=drive_link,,
170,Soul #4 in D,Not started,Soul,,,,,,,,,,,,,https://drive.google.com/file/d/1qY4ehsXsHBm9EflMvQPNitWxn-QPUjrT/view?usp=drive_link,,
171,Post Rock #3 in C#m,Not started,Post Rock,,,,,,,,,,,,,https://drive.google.com/file/d/18H5heL_hb6j7nVCmcQrLMUxW3d9jC47K/view?usp=drive_link,,
172,Thrash Metal #3 In Abm,Not started,Thrash Metal,,,,,,,,,,,,,https://drive.google.com/file/d/1YcAHuA3j9DqT2jf80lh0TCCs4yaFY-CU/view?usp=drive_link,,
173,Post Rock #4 in Bm,Not started,Post Rock,,,,,,,,,,,,,https://drive.google.com/file/d/1zskr1mrTkGeE2DmtcjeI2mYLlhlmSc3S/view?usp=drive_link,,
174,Soul #5 in Gm,Not started,Soul,,,,,,,,,,,,,https://drive.google.com/file/d/10CAoZH6JPONTZOPIHuHFpOEkAH7x-mPN/view?usp=drive_link,,
175,Post Rock #5 in Eb,Not started,Post Rock,,,,,,,,,,,,,https://drive.google.com/file/d/1jsbZaitjf41kdLJniRcQbK2tepy9MEI6/view?usp=drive_link,,
176,Folk Pop #1 in Ebm,Not started,Folk - Pop,,,,,,,,,,,,,https://drive.google.com/file/d/1ITdsmJBvyd5xDsV1L8Iv_vC5RD4pTJ6q/view?usp=drive_link,,
177,Folk Pop #2 in Bbm,Not started,Folk - Pop,,,,,,,,,,,,,https://drive.google.com/file/d/1r6xQGqbSCTqBMSIT-LtQafzd57V7N5yD/view?usp=drive_link,,
178,Folk Pop #3 in G#m,Not started,Folk - Pop,,,,,,,,,,,,,https://drive.google.com/file/d/1rrZg9POmazro9JKIu6w5yUxKWv_Qy6h_/view?usp=drive_link,,
179,Folk Pop #4 in Em,Not started,Folk - Pop,,,,,,,,,,,,,https://drive.google.com/file/d/15jTcmZZloFjEZBK-dqyOKKnjHIvj9RYB/view?usp=drive_link,,
