output_file,content_file,style_file,part,model_name,temperature,content_score,time_pitch_diff,onset.duration,onset.velocity,onset.drum_drums,style_name,content_name,human_content_similarity,human_style_similarity,human_quality,comments,orig_csv_name
54 Pop R&B #2 in F#m.PreChorus_no_drum.X.54 Pop R&B #2 in F#m.PreChorus_no_drum.D_T001.mid,54 Pop R&B #2 in F#m.PreChorus_no_drum.mid,54 Pop R&B #2 in F#m.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.8010291380352781,0.6896639458882435,0.9642503293517444,0.8583060267760206,,54 Pop R&B #2 in F#m,54 Pop R&B #2 in F#m,3,4,4,"Barley good enough, made it very minimal and not intersting musically",Temparature 0.01 Self_Blend (Rendering)
54 Pop R&B #2 in F#m.Verse_no_drum.X.54 Pop R&B #2 in F#m.Verse_no_drum.D_T001.mid,54 Pop R&B #2 in F#m.Verse_no_drum.mid,54 Pop R&B #2 in F#m.Verse_no_drum.mid,Verse,Drums,0.01,0.961731047656898,0.7486688957994458,0.143514811302907,,,54 Pop R&B #2 in F#m,54 Pop R&B #2 in F#m,3,3,3,Different groove and too many wrong chords,Temparature 0.01 Self_Blend (Rendering)
55 Pop R&B #3 in Fm.Chorus_no_drum.X.55 Pop R&B #3 in Fm.Chorus_no_drum.D_T001.mid,55 Pop R&B #3 in Fm.Chorus_no_drum.mid,55 Pop R&B #3 in Fm.Chorus_no_drum.mid,Chorus,Drums,0.01,0.7147626920647993,0.6729471054352171,0.411274656467111,0.7924632243283861,,55 Pop R&B #3 in Fm,55 Pop R&B #3 in Fm,2,2,1,BPM isssues and the final arrangement has nothing to do with the original song,Temparature 0.01 Self_Blend (Rendering)
55 Pop R&B #3 in Fm.PreChorus_no_drum.X.55 Pop R&B #3 in Fm.PreChorus_no_drum.D_T001.mid,55 Pop R&B #3 in Fm.PreChorus_no_drum.mid,55 Pop R&B #3 in Fm.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.8598936573587169,0.735948944561584,0.5898263304304185,0.8716077940774933,,55 Pop R&B #3 in Fm,55 Pop R&B #3 in Fm,2,2,2,Messy and not musical,Temparature 0.01 Self_Blend (Rendering)
55 Pop R&B #3 in Fm.Verse_no_drum.X.55 Pop R&B #3 in Fm.Verse_no_drum.D_T001.mid,55 Pop R&B #3 in Fm.Verse_no_drum.mid,55 Pop R&B #3 in Fm.Verse_no_drum.mid,Verse,Drums,0.01,0.5719595896805557,0.6911638090242106,0.407676773610272,0.7034095945608655,,55 Pop R&B #3 in Fm,55 Pop R&B #3 in Fm,-,-,-,Missing file,Temparature 0.01 Self_Blend (Rendering)
57 Afrobeat #1 In F#m.Chorus_no_drum.X.57 Afrobeat #1 In F#m.Chorus_no_drum.D_T001.mid,57 Afrobeat #1 In F#m.Chorus_no_drum.mid,57 Afrobeat #1 In F#m.Chorus_no_drum.mid,Chorus,Drums,0.01,0.8528807854950134,0.8446942316359163,0.6427303434497427,0.7986326321552557,,57 Afrobeat #1 In F#m,57 Afrobeat #1 In F#m,3,4,4,Mix is very riggid and there's one synth line that is out of line so it's barley good enough,Temparature 0.01 Self_Blend (Rendering)
57 Afrobeat #1 In F#m.PreChorus_no_drum.X.57 Afrobeat #1 In F#m.PreChorus_no_drum.D_T001.mid,57 Afrobeat #1 In F#m.PreChorus_no_drum.mid,57 Afrobeat #1 In F#m.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.8813036612425222,0.8528527807547452,0.6222537549993502,0.8064340644943414,,57 Afrobeat #1 In F#m,57 Afrobeat #1 In F#m,3,4,4,"BPM issues one wrong chord butcher will fix it, Good Enough",Temparature 0.01 Self_Blend (Rendering)
57 Afrobeat #1 In F#m.Verse_no_drum.X.57 Afrobeat #1 In F#m.Verse_no_drum.D_T001.mid,57 Afrobeat #1 In F#m.Verse_no_drum.mid,57 Afrobeat #1 In F#m.Verse_no_drum.mid,Verse,Drums,0.01,0.8738443718814534,0.8215463738634204,0.6679189882537395,0.8613974386184194,,57 Afrobeat #1 In F#m,57 Afrobeat #1 In F#m,4,4,4,"BPM issues, Good Enough",Temparature 0.01 Self_Blend (Rendering)
58 Afrobeat #2 In Cm.Chorus_no_drum.X.58 Afrobeat #2 In Cm.Chorus_no_drum.D_T001.mid,58 Afrobeat #2 In Cm.Chorus_no_drum.mid,58 Afrobeat #2 In Cm.Chorus_no_drum.mid,Chorus,Drums,0.01,0.8912178358910121,0.834797743197925,0.4266949600342442,0.5225615304751671,,58 Afrobeat #2 In Cm,58 Afrobeat #2 In Cm,4,5,4,Good but a bit too repetitive,Temparature 0.01 Self_Blend (Rendering)
58 Afrobeat #2 In Cm.PreChorus_no_drum.X.58 Afrobeat #2 In Cm.PreChorus_no_drum.D_T001.mid,58 Afrobeat #2 In Cm.PreChorus_no_drum.mid,58 Afrobeat #2 In Cm.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.8930492006673424,0.6425889325062041,0.3248418918389768,0.4933000176438347,,58 Afrobeat #2 In Cm,58 Afrobeat #2 In Cm,4,5,4,"Good, Too similar",Temparature 0.01 Self_Blend (Rendering)
58 Afrobeat #2 In Cm.Verse_no_drum.X.58 Afrobeat #2 In Cm.Verse_no_drum.D_T001.mid,58 Afrobeat #2 In Cm.Verse_no_drum.mid,58 Afrobeat #2 In Cm.Verse_no_drum.mid,Verse,Drums,0.01,0.8725748021931818,0.6701911476057005,0.4213479191598968,0.5623760704632655,,58 Afrobeat #2 In Cm,58 Afrobeat #2 In Cm,4,5,4,"Good, BPM changed",Temparature 0.01 Self_Blend (Rendering)
59 Afrobeat #3 in Bbm.Chorus_no_drum.X.59 Afrobeat #3 in Bbm.Chorus_no_drum.D_T001.mid,59 Afrobeat #3 in Bbm.Chorus_no_drum.mid,59 Afrobeat #3 in Bbm.Chorus_no_drum.mid,Chorus,Drums,0.01,0.9484533527445088,0.9045538775632366,0.3275764164466366,0.5520204459100558,,59 Afrobeat #3 in Bbm,59 Afrobeat #3 in Bbm,4,5,4,Good,Temparature 0.01 Self_Blend (Rendering)
59 Afrobeat #3 in Bbm.PreChorus_no_drum.X.59 Afrobeat #3 in Bbm.PreChorus_no_drum.D_T001.mid,59 Afrobeat #3 in Bbm.PreChorus_no_drum.mid,59 Afrobeat #3 in Bbm.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9900545585520056,0.9551398556582422,0.9835914300135736,0.7520710469952335,,59 Afrobeat #3 in Bbm,59 Afrobeat #3 in Bbm,5,5,5,Good,Temparature 0.01 Self_Blend (Rendering)
59 Afrobeat #3 in Bbm.Verse_no_drum.X.59 Afrobeat #3 in Bbm.Verse_no_drum.D_T001.mid,59 Afrobeat #3 in Bbm.Verse_no_drum.mid,59 Afrobeat #3 in Bbm.Verse_no_drum.mid,Verse,Drums,0.01,0.9478892521014992,0.7694875281779272,0.7806985154271603,0.5000000000000003,,59 Afrobeat #3 in Bbm,59 Afrobeat #3 in Bbm,4,5,4,Good,Temparature 0.01 Self_Blend (Rendering)
6 Alternative Pop #1 In Am.Chorus_no_drum.X.6 Alternative Pop #1 In Am.Chorus_no_drum.D_T001.mid,6 Alternative Pop #1 In Am.Chorus_no_drum.mid,6 Alternative Pop #1 In Am.Chorus_no_drum.mid,Chorus,Drums,0.01,0.8258098713432147,0.9092489402121934,0.631820935788035,0.6779491797302424,,6 Alternative Pop #1 In Am,6 Alternative Pop #1 In Am,4,4,4,"Good, a few mistkes in a few notes but the butcher will fix it",Temparature 0.01 Self_Blend (Rendering)
6 Alternative Pop #1 In Am.PreChorus_no_drum.X.6 Alternative Pop #1 In Am.PreChorus_no_drum.D_T001.mid,6 Alternative Pop #1 In Am.PreChorus_no_drum.mid,6 Alternative Pop #1 In Am.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9357290160057716,0.9418817009546884,0.341976614342079,0.5771022787765904,,6 Alternative Pop #1 In Am,6 Alternative Pop #1 In Am,4,5,4,Good,Temparature 0.01 Self_Blend (Rendering)
6 Alternative Pop #1 In Am.Verse_no_drum.X.6 Alternative Pop #1 In Am.Verse_no_drum.D_T001.mid,6 Alternative Pop #1 In Am.Verse_no_drum.mid,6 Alternative Pop #1 In Am.Verse_no_drum.mid,Verse,Drums,0.01,0.9179864453305052,0.9832107893807976,0.8700628401410974,0.6092076990801715,,6 Alternative Pop #1 In Am,6 Alternative Pop #1 In Am,5,5,5,Very Good,Temparature 0.01 Self_Blend (Rendering)
61 K-Pop #1 in Ab.Chorus_no_drum.X.61 K-Pop #1 in Ab.Chorus_no_drum.D_T001.mid,61 K-Pop #1 in Ab.Chorus_no_drum.mid,61 K-Pop #1 in Ab.Chorus_no_drum.mid,Chorus,Drums,0.01,0.867123732368451,0.9077195301599812,0.6800717522771549,0.7700492167665174,,61 K-Pop #1 in Ab,61 K-Pop #1 in Ab,5,4,4,Good,Temparature 0.01 Self_Blend (Rendering)
61 K-Pop #1 in Ab.PreChorus_no_drum.X.61 K-Pop #1 in Ab.PreChorus_no_drum.D_T001.mid,61 K-Pop #1 in Ab.PreChorus_no_drum.mid,61 K-Pop #1 in Ab.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.976660569700274,0.7449335444279949,0.4398224962597439,0.396662764332278,,61 K-Pop #1 in Ab,61 K-Pop #1 in Ab,5,4,4,Good,Temparature 0.01 Self_Blend (Rendering)
61 K-Pop #1 in Ab.Verse_no_drum.X.61 K-Pop #1 in Ab.Verse_no_drum.D_T001.mid,61 K-Pop #1 in Ab.Verse_no_drum.mid,61 K-Pop #1 in Ab.Verse_no_drum.mid,Verse,Drums,0.01,0.9006880666523841,0.8344616337994725,0.737286364644093,0.5049370310438726,,61 K-Pop #1 in Ab,61 K-Pop #1 in Ab,4,4,3,Too repetitve and simplistic,Temparature 0.01 Self_Blend (Rendering)
62 Synthwave #4 In Bb.Chorus_no_drum.X.62 Synthwave #4 In Bb.Chorus_no_drum.D_T001.mid,62 Synthwave #4 In Bb.Chorus_no_drum.mid,62 Synthwave #4 In Bb.Chorus_no_drum.mid,Chorus,Drums,0.01,0.947556639952518,0.942343434522882,0.4644151413440185,0.5495347131839811,,62 Synthwave #4 In Bb,62 Synthwave #4 In Bb,5,4,3,Good except one very annoying flat high synth,Temparature 0.01 Self_Blend (Rendering)
62 Synthwave #4 In Bb.PreChorus_no_drum.X.62 Synthwave #4 In Bb.PreChorus_no_drum.D_T001.mid,62 Synthwave #4 In Bb.PreChorus_no_drum.mid,62 Synthwave #4 In Bb.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.7855488630295447,0.705486575343084,0.5563335646219925,0.1522590098663673,,62 Synthwave #4 In Bb,62 Synthwave #4 In Bb,5,5,5,Very Good,Temparature 0.01 Self_Blend (Rendering)
62 Synthwave #4 In Bb.Verse_no_drum.X.62 Synthwave #4 In Bb.Verse_no_drum.D_T001.mid,62 Synthwave #4 In Bb.Verse_no_drum.mid,62 Synthwave #4 In Bb.Verse_no_drum.mid,Verse,Drums,0.01,0.8264548924234552,0.7911953653022259,0.7049786593159424,,,62 Synthwave #4 In Bb,62 Synthwave #4 In Bb,5,5,5,Very Good,Temparature 0.01 Self_Blend (Rendering)
63 Synthwave #5 In Am.Chorus_no_drum.X.63 Synthwave #5 In Am.Chorus_no_drum.D_T001.mid,63 Synthwave #5 In Am.Chorus_no_drum.mid,63 Synthwave #5 In Am.Chorus_no_drum.mid,Chorus,Drums,0.01,0.7684429472712596,0.5880733553551066,0.5379687473454173,0.3040827487928821,,63 Synthwave #5 In Am,63 Synthwave #5 In Am,5,5,5,Very Good,Temparature 0.01 Self_Blend (Rendering)
63 Synthwave #5 In Am.PreChorus_no_drum.X.63 Synthwave #5 In Am.PreChorus_no_drum.D_T001.mid,63 Synthwave #5 In Am.PreChorus_no_drum.mid,63 Synthwave #5 In Am.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9450201269126732,0.8402319298962497,0.1145437641538187,0.4243920714785822,,63 Synthwave #5 In Am,63 Synthwave #5 In Am,4,5,4,Good enough butcher can fix the mistakes,Temparature 0.01 Self_Blend (Rendering)
63 Synthwave #5 In Am.Verse_no_drum.X.63 Synthwave #5 In Am.Verse_no_drum.D_T001.mid,63 Synthwave #5 In Am.Verse_no_drum.mid,63 Synthwave #5 In Am.Verse_no_drum.mid,Verse,Drums,0.01,0.7284267534026473,0.6139973700257235,0.9168206461094164,0.4695408692081191,,63 Synthwave #5 In Am,63 Synthwave #5 In Am,4,3,3,Horrible sound very messy,Temparature 0.01 Self_Blend (Rendering)
64 Synthwave #6 In A.Chorus_no_drum.X.64 Synthwave #6 In A.Chorus_no_drum.D_T001.mid,64 Synthwave #6 In A.Chorus_no_drum.mid,64 Synthwave #6 In A.Chorus_no_drum.mid,Chorus,Drums,0.01,0.9149788833316304,0.7390663589307178,0.5751050705023346,0.6911070533097011,,64 Synthwave #6 In A,64 Synthwave #6 In A,5,5,5,Very Good,Temparature 0.01 Self_Blend (Rendering)
64 Synthwave #6 In A.PreChorus_no_drum.X.64 Synthwave #6 In A.PreChorus_no_drum.D_T001.mid,64 Synthwave #6 In A.PreChorus_no_drum.mid,64 Synthwave #6 In A.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.8517937808682525,0.8231322107665793,0.5589911837469509,0.6464176485619441,,64 Synthwave #6 In A,64 Synthwave #6 In A,3,3,3,One note hook acroos the entire track,Temparature 0.01 Self_Blend (Rendering)
64 Synthwave #6 In A.Verse_no_drum.X.64 Synthwave #6 In A.Verse_no_drum.D_T001.mid,64 Synthwave #6 In A.Verse_no_drum.mid,64 Synthwave #6 In A.Verse_no_drum.mid,Verse,Drums,0.01,0.8030003054897374,0.745507036598677,0.789999433091667,0.5189180577203443,,64 Synthwave #6 In A,64 Synthwave #6 In A,4,5,4,Good,Temparature 0.01 Self_Blend (Rendering)
65 K-Pop #2 in Gm.Chorus_no_drum.X.65 K-Pop #2 in Gm.Chorus_no_drum.D_T001.mid,65 K-Pop #2 in Gm.Chorus_no_drum.mid,65 K-Pop #2 in Gm.Chorus_no_drum.mid,Chorus,Drums,0.01,0.6471973383538813,0.381467502943275,0.6534110868173996,0.3319687673880531,,65 K-Pop #2 in Gm,65 K-Pop #2 in Gm,2,2,1,Terrible all around playing one flat note,Temparature 0.01 Self_Blend (Rendering)
65 K-Pop #2 in Gm.PreChorus_no_drum.X.65 K-Pop #2 in Gm.PreChorus_no_drum.D_T001.mid,65 K-Pop #2 in Gm.PreChorus_no_drum.mid,65 K-Pop #2 in Gm.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9311291324546828,0.9444700854721106,0.7683788960096186,0.8063617390520761,,65 K-Pop #2 in Gm,65 K-Pop #2 in Gm,4,4,4,Good,Temparature 0.01 Self_Blend (Rendering)
65 K-Pop #2 in Gm.Verse_no_drum.X.65 K-Pop #2 in Gm.Verse_no_drum.D_T001.mid,65 K-Pop #2 in Gm.Verse_no_drum.mid,65 K-Pop #2 in Gm.Verse_no_drum.mid,Verse,Drums,0.01,0.752800930323783,0.4611922446785632,0.7598005015324859,0.4040629236096895,,65 K-Pop #2 in Gm,65 K-Pop #2 in Gm,2,2,2,"Two notes reptitive hook, not musical whatsoever",Temparature 0.01 Self_Blend (Rendering)
66 K-Pop #3 in B.Chorus_no_drum.X.66 K-Pop #3 in B.Chorus_no_drum.D_T001.mid,66 K-Pop #3 in B.Chorus_no_drum.mid,66 K-Pop #3 in B.Chorus_no_drum.mid,Chorus,Drums,0.01,0.5857797435376431,0.4135075888455007,0.3545374355817141,0.3537544081526513,,66 K-Pop #3 in B,66 K-Pop #3 in B,3,2,2,drums and a bass playing 4ths and a off key synth,Temparature 0.01 Self_Blend (Rendering)
66 K-Pop #3 in B.PreChorus_no_drum.X.66 K-Pop #3 in B.PreChorus_no_drum.D_T001.mid,66 K-Pop #3 in B.PreChorus_no_drum.mid,66 K-Pop #3 in B.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.3502254527148856,0.2325115180448078,0.2269441553224858,0.4167665197491345,,66 K-Pop #3 in B,66 K-Pop #3 in B,-,-,-,"Hard to tag, drums and a bass playing 4ths",Temparature 0.01 Self_Blend (Rendering)
66 K-Pop #3 in B.Verse_no_drum.X.66 K-Pop #3 in B.Verse_no_drum.D_T001.mid,66 K-Pop #3 in B.Verse_no_drum.mid,66 K-Pop #3 in B.Verse_no_drum.mid,Verse,Drums,0.01,0.519218586006736,0.3138765928342002,0.3458994280750251,,,66 K-Pop #3 in B,66 K-Pop #3 in B,-,-,-,"Cant tag this, only drums",Temparature 0.01 Self_Blend (Rendering)
68 Reggaeton # 5 Ebm.Chorus_no_drum.X.68 Reggaeton # 5 Ebm.Chorus_no_drum.D_T001.mid,68 Reggaeton # 5 Ebm.Chorus_no_drum.mid,68 Reggaeton # 5 Ebm.Chorus_no_drum.mid,Chorus,Drums,0.01,0.3431567371147359,0.2861697345005718,0.6266795614405122,,,68 Reggaeton # 5 Ebm,68 Reggaeton # 5 Ebm,-,-,-,"Can't tag this, not enough information",Temparature 0.01 Self_Blend (Rendering)
68 Reggaeton # 5 Ebm.PreChorus_no_drum.X.68 Reggaeton # 5 Ebm.PreChorus_no_drum.D_T001.mid,68 Reggaeton # 5 Ebm.PreChorus_no_drum.mid,68 Reggaeton # 5 Ebm.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9781222936578512,0.7203731648921939,0.893627622341398,0.5753964555687505,,68 Reggaeton # 5 Ebm,68 Reggaeton # 5 Ebm,5,5,5,Very Good,Temparature 0.01 Self_Blend (Rendering)
68 Reggaeton # 5 Ebm.Verse_no_drum.X.68 Reggaeton # 5 Ebm.Verse_no_drum.D_T001.mid,68 Reggaeton # 5 Ebm.Verse_no_drum.mid,68 Reggaeton # 5 Ebm.Verse_no_drum.mid,Verse,Drums,0.01,0.7488352798099637,0.5973470466952382,0.7687069232739875,0.583428300095596,,68 Reggaeton # 5 Ebm,68 Reggaeton # 5 Ebm,3,5,3,Too repetitive and not musical enough,Temparature 0.01 Self_Blend (Rendering)
69 Reggaeton # 6 Bb.Chorus_no_drum.X.69 Reggaeton # 6 Bb.Chorus_no_drum.D_T001.mid,69 Reggaeton # 6 Bb.Chorus_no_drum.mid,69 Reggaeton # 6 Bb.Chorus_no_drum.mid,Chorus,Drums,0.01,0.9704194954914576,0.8889830492671319,0.8901087920308994,0.852813633067412,,69 Reggaeton # 6 Bb,69 Reggaeton # 6 Bb,2,2,2,Weird and out of context synth playing notes from a different key,Temparature 0.01 Self_Blend (Rendering)
69 Reggaeton # 6 Bb.PreChorus_no_drum.X.69 Reggaeton # 6 Bb.PreChorus_no_drum.D_T001.mid,69 Reggaeton # 6 Bb.PreChorus_no_drum.mid,69 Reggaeton # 6 Bb.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9388229911556074,0.5601861731896293,0.7385489458759962,0.7932022101853456,,69 Reggaeton # 6 Bb,69 Reggaeton # 6 Bb,5,4,4,Good,Temparature 0.01 Self_Blend (Rendering)
69 Reggaeton # 6 Bb.Verse_no_drum.X.69 Reggaeton # 6 Bb.Verse_no_drum.D_T001.mid,69 Reggaeton # 6 Bb.Verse_no_drum.mid,69 Reggaeton # 6 Bb.Verse_no_drum.mid,Verse,Drums,0.01,0.8946293080552526,0.605785213531525,0.4888863065210806,0.7111513771636245,,69 Reggaeton # 6 Bb,69 Reggaeton # 6 Bb,4,4,3,Too repititive,Temparature 0.01 Self_Blend (Rendering)
7 Hard Rock #3 in Cm.Chorus_no_drum.X.7 Hard Rock #3 in Cm.Chorus_no_drum.D_T001.mid,7 Hard Rock #3 in Cm.Chorus_no_drum.mid,7 Hard Rock #3 in Cm.Chorus_no_drum.mid,Chorus,Drums,0.01,0.9576760659772816,0.920547290198858,0.5998963549117611,0.7482645523279843,,7 Hard Rock #3 in Cm,7 Hard Rock #3 in Cm,5,4,4,Good Enough,Temparature 0.01 Self_Blend (Rendering)
7 Hard Rock #3 in Cm.PreChorus_no_drum.X.7 Hard Rock #3 in Cm.PreChorus_no_drum.D_T001.mid,7 Hard Rock #3 in Cm.PreChorus_no_drum.mid,7 Hard Rock #3 in Cm.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9763037275950456,0.8903679276982843,0.6334849618979497,0.4981282335367015,,7 Hard Rock #3 in Cm,7 Hard Rock #3 in Cm,5,4,4,Good Enough,Temparature 0.01 Self_Blend (Rendering)
7 Hard Rock #3 in Cm.Verse_no_drum.X.7 Hard Rock #3 in Cm.Verse_no_drum.D_T001.mid,7 Hard Rock #3 in Cm.Verse_no_drum.mid,7 Hard Rock #3 in Cm.Verse_no_drum.mid,Verse,Drums,0.01,0.9844843049156244,0.9048770201978124,0.7455694315485192,0.6667720737334846,,7 Hard Rock #3 in Cm,7 Hard Rock #3 in Cm,5,2,3,A completely different vibe and playing,Temparature 0.01 Self_Blend (Rendering)
70 K-Pop #4 in E.Chorus_no_drum.X.70 K-Pop #4 in E.Chorus_no_drum.D_T001.mid,70 K-Pop #4 in E.Chorus_no_drum.mid,70 K-Pop #4 in E.Chorus_no_drum.mid,Chorus,Drums,0.01,0.9471019890587996,0.691463387877683,0.6941394313020628,0.8062185807639681,,70 K-Pop #4 in E,70 K-Pop #4 in E,2,2,2,Terrible all around,Temparature 0.01 Self_Blend (Rendering)
70 K-Pop #4 in E.PreChorus_no_drum.X.70 K-Pop #4 in E.PreChorus_no_drum.D_T001.mid,70 K-Pop #4 in E.PreChorus_no_drum.mid,70 K-Pop #4 in E.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9492362504360558,0.8376155621436729,0.4416602763734333,0.6585898699609406,,70 K-Pop #4 in E,70 K-Pop #4 in E,4,3,3,Not Good enough all around,Temparature 0.01 Self_Blend (Rendering)
70 K-Pop #4 in E.Verse_no_drum.X.70 K-Pop #4 in E.Verse_no_drum.D_T001.mid,70 K-Pop #4 in E.Verse_no_drum.mid,70 K-Pop #4 in E.Verse_no_drum.mid,Verse,Drums,0.01,0.9587161143305576,0.9264223083642628,0.957695373727544,0.681495343602325,,70 K-Pop #4 in E,70 K-Pop #4 in E,4,4,3,Messy and agressive mix,Temparature 0.01 Self_Blend (Rendering)
72 Reggaeton #7 In G#m.Chorus_no_drum.X.72 Reggaeton #7 In G#m.Chorus_no_drum.D_T001.mid,72 Reggaeton #7 In G#m.Chorus_no_drum.mid,72 Reggaeton #7 In G#m.Chorus_no_drum.mid,Chorus,Drums,0.01,0.8668854369442804,0.8037460443345873,0.8015847286348816,0.8814608913737614,,72 Reggaeton #7 In G#m,72 Reggaeton #7 In G#m,5,5,5,Beautiful,Temparature 0.01 Self_Blend (Rendering)
72 Reggaeton #7 In G#m.PreChorus_no_drum.X.72 Reggaeton #7 In G#m.PreChorus_no_drum.D_T001.mid,72 Reggaeton #7 In G#m.PreChorus_no_drum.mid,72 Reggaeton #7 In G#m.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9380304498103088,0.7979958586704738,0.6796616613445955,0.811370635007853,,72 Reggaeton #7 In G#m,72 Reggaeton #7 In G#m,4,4,4,Good,Temparature 0.01 Self_Blend (Rendering)
72 Reggaeton #7 In G#m.Verse_no_drum.X.72 Reggaeton #7 In G#m.Verse_no_drum.D_T001.mid,72 Reggaeton #7 In G#m.Verse_no_drum.mid,72 Reggaeton #7 In G#m.Verse_no_drum.mid,Verse,Drums,0.01,0.905868624465276,0.7954282833903982,0.6894872832256557,0.8318714741888706,,72 Reggaeton #7 In G#m,72 Reggaeton #7 In G#m,3,4,4,"Good enough, butcher can fix the mistakes",Temparature 0.01 Self_Blend (Rendering)
73 Electro  - Pop # 4 in Dm.Chorus_no_drum.X.73 Electro  - Pop # 4 in Dm.Chorus_no_drum.D_T001.mid,73 Electro  - Pop # 4 in Dm.Chorus_no_drum.mid,73 Electro  - Pop # 4 in Dm.Chorus_no_drum.mid,Chorus,Drums,0.01,0.4789301157776005,0.1879004614422894,0.3235747877167161,0.6126405825983644,,73 Electro  - Pop # 4 in Dm,73 Electro  - Pop # 4 in Dm,2,2,2,Only bass cant really tag this,Temparature 0.01 Self_Blend (Rendering)
73 Electro  - Pop # 4 in Dm.PreChorus_no_drum.X.73 Electro  - Pop # 4 in Dm.PreChorus_no_drum.D_T001.mid,73 Electro  - Pop # 4 in Dm.PreChorus_no_drum.mid,73 Electro  - Pop # 4 in Dm.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9281505937924024,0.6986099574399115,0.4743274257638963,0.3891477263147489,,73 Electro  - Pop # 4 in Dm,73 Electro  - Pop # 4 in Dm,4,5,4,Good,Temparature 0.01 Self_Blend (Rendering)
73 Electro  - Pop # 4 in Dm.Verse_no_drum.X.73 Electro  - Pop # 4 in Dm.Verse_no_drum.D_T001.mid,73 Electro  - Pop # 4 in Dm.Verse_no_drum.mid,73 Electro  - Pop # 4 in Dm.Verse_no_drum.mid,Verse,Drums,0.01,0.9503537329738434,0.726232420464267,0.4317651958715567,0.2712445145013022,,73 Electro  - Pop # 4 in Dm,73 Electro  - Pop # 4 in Dm,-,-,-,Missing file,Temparature 0.01 Self_Blend (Rendering)
78 Classic Pop #3 in G.Chorus_no_drum.X.78 Classic Pop #3 in G.Chorus_no_drum.D_T001.mid,78 Classic Pop #3 in G.Chorus_no_drum.mid,78 Classic Pop #3 in G.Chorus_no_drum.mid,Chorus,Drums,0.01,0.9581228681876128,0.9474450113341946,0.4395188295583904,0.8959453527703318,,78 Classic Pop #3 in G,78 Classic Pop #3 in G,3,3,3,"Out of key bass notes, repetitive and boring",Temparature 0.01 Self_Blend (Rendering)
78 Classic Pop #3 in G.PreChorus_no_drum.X.78 Classic Pop #3 in G.PreChorus_no_drum.D_T001.mid,78 Classic Pop #3 in G.PreChorus_no_drum.mid,78 Classic Pop #3 in G.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.9307607007150988,0.7469644376318003,0.375999000019778,0.8328081334299146,,78 Classic Pop #3 in G,78 Classic Pop #3 in G,4,3,2,General midi sound and a few wrong notes,Temparature 0.01 Self_Blend (Rendering)
78 Classic Pop #3 in G.Verse_no_drum.X.78 Classic Pop #3 in G.Verse_no_drum.D_T001.mid,78 Classic Pop #3 in G.Verse_no_drum.mid,78 Classic Pop #3 in G.Verse_no_drum.mid,Verse,Drums,0.01,0.8937478315210177,0.8821106102962897,0.4189040088008939,0.6945672122128292,,78 Classic Pop #3 in G,78 Classic Pop #3 in G,4,3,2,General Midi sound,Temparature 0.01 Self_Blend (Rendering)
8 Rock - Pop #1 in C#m.Chorus_no_drum.X.8 Rock - Pop #1 in C#m.Chorus_no_drum.D_T001.mid,8 Rock - Pop #1 in C#m.Chorus_no_drum.mid,8 Rock - Pop #1 in C#m.Chorus_no_drum.mid,Chorus,Drums,0.01,0.9241392529125207,0.9068029876278678,0.9385300753065652,0.7727556926637408,,8 Rock - Pop #1 in C#m,8 Rock - Pop #1 in C#m,1,1,1,"Not Music: there's a noise across, and the guitar is missing",Temparature 0.01 Self_Blend (Rendering)
8 Rock - Pop #1 in C#m.PreChorus_no_drum.X.8 Rock - Pop #1 in C#m.PreChorus_no_drum.D_T001.mid,8 Rock - Pop #1 in C#m.PreChorus_no_drum.mid,8 Rock - Pop #1 in C#m.PreChorus_no_drum.mid,Pre_Chorus,Drums,0.01,0.8912942615377295,0.7959442428743578,0.7932621172776481,0.4343082078101712,,8 Rock - Pop #1 in C#m,8 Rock - Pop #1 in C#m,4,2,3,The harmony changes and the entire arrangement and general feel is too different,Temparature 0.01 Self_Blend (Rendering)
